mes,fecha,semana,hora,recibidas,atendidas,abandonada,atendidas_sla,aht_seg,tme_seg,dia_sem
202601,20260104,Sem02,12,98,76,22,24,31.9278835078534,18.9315942408377,7
202601,20260104,Sem02,0,10,8,2,4,77.7245384615385,18.7872307692308,7
202601,20260104,Sem02,23,15,15,0,12,74.7156941176471,3.045,7
202601,20260104,Sem02,17,59,37,22,9,32.065132118451,27.878,7
202601,20260104,Sem02,14,71,36,35,5,20.9181989795918,31.0485731292517,7
202601,20260104,Sem02,3,2,2,0,1,17.3382173913043,4.56313043478261,7
202601,20260104,Sem02,6,20,1,19,0,0.654814285714286,40.4950142857143,7
202601,20260104,Sem02,4,6,5,1,3,41.5325135135135,5.52367567567568,7
202601,20260104,Sem02,20,52,18,34,3,26.4113449477352,42.4449163763066,7
202601,20260104,Sem02,10,75,66,9,23,33.5256126656848,13.8848468335788,7
202601,20260104,Sem02,11,66,64,2,41,24.3653664036077,3.54432694475761,7
202601,20260104,Sem02,16,49,32,17,4,26.9609376257545,16.3470744466801,7
202601,20260104,Sem02,21,47,27,20,6,48.3836842105263,30.8495141700405,7
202601,20260104,Sem02,18,49,30,19,5,37.2793753581662,37.1975186246418,7
202601,20260104,Sem02,13,78,54,24,8,30.8106889952153,22.5618564593301,7
202601,20260104,Sem02,19,40,24,16,3,25.7138056426332,36.0509686520376,7
202601,20260104,Sem02,22,33,33,0,30,85.0327916666667,2.97072222222222,7
202601,20260104,Sem02,15,60,26,34,2,21.5463589211618,31.9331058091286,7
202601,20260105,Sem02,1,6,6,0,5,36.9582,2.61085,1
202601,20260105,Sem02,13,1663,1050,613,263,135.395719258541,185.705752667313,1
202601,20260105,Sem02,0,11,10,1,10,63.2522553191489,0.546276595744681,1
202601,20260105,Sem02,5,4,4,0,4,41.0284242424242,0.344727272727273,1
202601,20260105,Sem02,2,0,0,0,0,0.0,0.0,1
202601,20260105,Sem02,4,1,1,0,1,35.8202,0.2798,1
202601,20260105,Sem02,12,1752,1229,523,418,157.958562081558,172.589589013999,1
202601,20260105,Sem02,3,1,1,0,1,19.4881,0.2966,1
202601,20260105,Sem02,8,771,765,6,686,220.578648335933,12.5817862714508,1
202601,20260105,Sem02,17,1576,945,631,338,147.229737606838,195.363463931624,1
202601,20260105,Sem02,14,1517,1007,510,271,145.339745939265,187.640667549435,1
202601,20260105,Sem02,7,33,33,0,33,38.1988933333333,0.323938333333333,1
202601,20260105,Sem02,10,1899,1375,524,513,164.981377395209,170.393924625748,1
202601,20260105,Sem02,9,1725,1430,295,821,196.987014833574,114.321171671491,1
202601,20260105,Sem02,16,1630,1256,374,504,171.951081290743,137.709405932203,1
202601,20260105,Sem02,6,8,8,0,8,30.8097009345794,0.230953271028037,1
202601,20260105,Sem02,19,694,223,471,39,73.9979469057665,160.911923699015,1
202601,20260105,Sem02,20,53,53,0,47,24.1150380835381,1.11864987714988,1
202601,20260105,Sem02,11,1823,1485,338,732,173.583471726191,129.097116071429,1
202601,20260105,Sem02,21,66,64,2,63,52.3857799607073,0.444950884086444,1
202601,20260105,Sem02,15,1635,1121,514,284,155.394449801849,192.643668097754,1
202601,20260105,Sem02,22,37,37,0,36,48.7400885608856,0.582675276752768,1
202601,20260105,Sem02,18,1161,377,784,111,79.503115130128,170.995973533304,1
202601,20260105,Sem02,23,20,20,0,20,32.2264730538922,0.300874251497006,1
202601,20260106,Sem02,0,16,16,0,16,66.7186944444445,0.476111111111111,2
202601,20260106,Sem02,6,14,14,0,14,31.7885333333333,0.297148148148148,2
202601,20260106,Sem02,14,1107,1021,86,689,192.571798627544,50.8544992901042,2
202601,20260106,Sem02,1,2,2,0,2,17.126125,0.388,2
202601,20260106,Sem02,5,6,6,0,6,59.1865789473684,0.622157894736842,2
202601,20260106,Sem02,4,5,5,0,5,77.9321666666667,0.699125,2
202601,20260106,Sem02,7,38,38,0,38,35.5500922190202,0.306230547550432,2
202601,20260106,Sem02,2,1,1,0,1,26.3876315789474,0.154315789473684,2
202601,20260106,Sem02,22,35,35,0,35,62.7623923444976,0.249200956937799,2
202601,20260106,Sem02,10,1685,1433,252,898,212.333241094381,100.132517076754,2
202601,20260106,Sem02,16,1239,1206,33,1053,219.440652173913,21.7134694293478,2
202601,20260106,Sem02,8,805,805,0,761,211.339123404255,5.64755283687943,2
202601,20260106,Sem02,3,2,2,0,2,39.261,0.3604375,2
202601,20260106,Sem02,11,1736,1556,180,1076,210.817080026676,76.3458991330443,2
202601,20260106,Sem02,18,845,440,405,127,125.179603024946,167.689763897071,2
202601,20260106,Sem02,17,1190,919,271,474,182.41516538297,118.552766367137,2
202601,20260106,Sem02,9,1471,1312,159,921,211.570738437001,68.5842143141947,2
202601,20260106,Sem02,12,1470,1208,262,763,184.429161996067,93.061715523599,2
202601,20260106,Sem02,19,462,252,210,56,149.905516146394,172.429247578041,2
202601,20260106,Sem02,15,1172,1109,63,804,202.47457503461,45.5126612828796,2
202601,20260106,Sem02,13,1134,952,182,600,174.426904938811,75.3212137237762,2
202601,20260106,Sem02,20,54,53,1,51,33.5221873015873,0.345236507936508,2
202601,20260106,Sem02,21,42,42,0,42,38.4128831908832,0.198854700854701,2
202601,20260106,Sem02,23,26,26,0,26,44.0261169590643,0.365900584795322,2
202601,20260107,Sem02,19,504,276,228,61,113.755422270742,156.942432751092,3
202601,20260107,Sem02,0,14,14,0,14,73.6188095238095,0.602809523809524,3
202601,20260107,Sem02,4,1,1,0,1,36.9614666666667,0.178333333333333,3
202601,20260107,Sem02,12,1333,1282,51,920,221.675548018949,44.0677689491818,3
202601,20260107,Sem02,20,63,63,0,60,34.3071482084691,0.745395765472313,3
202601,20260107,Sem02,1,2,2,0,2,29.2131666666667,0.416,3
202601,20260107,Sem02,18,847,457,390,104,128.357024665043,176.954767356882,3
202601,20260107,Sem02,3,1,1,0,1,26.08675,0.114321428571429,3
202601,20260107,Sem02,23,26,26,0,26,107.926457142857,0.61,3
202601,20260107,Sem02,5,2,2,0,2,28.7914230769231,0.242307692307692,3
202601,20260107,Sem02,21,52,52,0,52,47.5398773333333,0.194258666666667,3
202601,20260107,Sem02,2,7,7,0,7,142.023947368421,1.34205263157895,3
202601,20260107,Sem02,6,10,10,0,10,27.2588461538462,0.391759615384615,3
202601,20260107,Sem02,7,39,39,0,39,36.6753983739837,0.258151761517615,3
202601,20260107,Sem02,14,1191,1037,154,699,196.744626445087,74.5987870905541,3
202601,20260107,Sem02,8,741,698,43,466,216.136127020785,39.9826793687451,3
202601,20260107,Sem02,15,1200,1132,68,814,208.227682903981,44.0511400468384,3
202601,20260107,Sem02,13,1199,1002,197,631,194.219620758483,90.409347919544,3
202601,20260107,Sem02,17,1231,841,390,365,165.428528209685,148.248589071524,3
202601,20260107,Sem02,9,1338,1240,98,895,218.078799913382,53.6229919878736,3
202601,20260107,Sem02,16,1120,1118,2,1111,206.683742830278,3.01001363422661,3
202601,20260107,Sem02,10,1306,1293,13,1090,211.115169698222,18.0596312525837,3
202601,20260107,Sem02,11,1398,1377,21,1145,226.066357261411,21.2981095435685,3
202601,20260107,Sem02,22,32,31,1,31,41.8997008547008,0.463897435897436,3
202601,20260108,Sem02,10,1422,1413,9,1219,217.899202529105,16.3047486953031,4
202601,20260108,Sem02,0,21,21,0,20,101.447293333333,1.60984,4
202601,20260108,Sem02,7,37,37,0,37,33.2194349030471,0.312063711911357,4
202601,20260108,Sem02,1,6,6,0,6,36.5813,0.436875,4
202601,20260108,Sem02,12,1178,1176,2,1148,214.056610768988,2.68775225011843,4
202601,20260108,Sem02,8,673,672,1,627,203.889689585029,4.98328397070789,4
202601,20260108,Sem02,16,1078,1077,1,1071,232.551019355944,1.35803400136691,4
202601,20260108,Sem02,3,0,0,0,0,0.0,0.0,4
202601,20260108,Sem02,22,45,45,0,45,59.6671206896552,0.246512931034483,4
202601,20260108,Sem02,6,18,18,0,18,44.3386344827586,0.394841379310345,4
202601,20260108,Sem02,17,1064,967,97,772,222.906667516573,36.681483681795,4
202601,20260108,Sem02,2,8,8,0,8,117.74825,1.158125,4
202601,20260108,Sem02,19,448,297,151,106,135.812992907801,137.50104154002,4
202601,20260108,Sem02,23,28,28,0,28,66.6045384615385,0.417480769230769,4
202601,20260108,Sem02,4,0,0,0,0,0.0,0.0,4
202601,20260108,Sem02,14,1050,1036,14,934,227.461994623656,12.1809505194095,4
202601,20260108,Sem02,5,10,10,0,10,84.7962173913043,0.624021739130435,4
202601,20260108,Sem02,15,1026,1026,0,1026,220.470535460993,1.19527823240589,4
202601,20260108,Sem02,20,62,62,0,59,36.1516920473773,0.876752961082911,4
202601,20260108,Sem02,18,802,516,286,200,147.028376193507,142.294318268619,4
202601,20260108,Sem02,9,1342,1324,18,1085,219.972785930736,16.6468632034632,4
202601,20260108,Sem02,21,52,52,0,52,51.5782528735632,0.218864942528736,4
202601,20260108,Sem02,11,1374,1372,2,1372,234.258980566117,1.14282657372201,4
202601,20260108,Sem02,13,1020,999,21,805,211.37150861141,18.3366229817007,4
202601,20260109,Sem02,1,6,6,0,6,89.2195925925926,0.688851851851852,5
202601,20260109,Sem02,15,933,930,3,929,192.005446144208,1.07222839506173,5
202601,20260109,Sem02,2,5,5,0,5,65.0795,0.7287,5
202601,20260109,Sem02,9,1081,1080,1,1079,214.356894079305,1.16442748506246,5
202601,20260109,Sem02,3,3,3,0,3,94.7700714285714,0.675642857142857,5
202601,20260109,Sem02,4,4,4,0,4,61.5319130434783,0.576652173913043,5
202601,20260109,Sem02,8,526,526,0,526,200.230111222445,1.00543036072144,5
202601,20260109,Sem02,0,13,13,0,13,74.0382361111111,0.484,5
202601,20260109,Sem02,7,51,50,1,50,48.2918993288591,0.438510067114094,5
202601,20260109,Sem02,17,936,930,6,893,209.963849834071,4.80614629424779,5
202601,20260109,Sem02,12,1128,1127,1,1126,182.5225856102,1.06460543645649,5
202601,20260109,Sem02,10,1293,1290,3,1256,209.912246538518,2.83953553542201,5
202601,20260109,Sem02,13,1015,990,25,826,201.947602777778,18.6680691919192,5
202601,20260109,Sem02,18,613,466,147,230,170.935423290938,85.9332142289348,5
202601,20260109,Sem02,19,363,308,55,157,156.185219705549,70.0813097395243,5
202601,20260109,Sem02,5,5,5,0,5,25.3619090909091,0.355431818181818,5
202601,20260109,Sem02,20,34,33,1,33,19.1402319859402,0.0849578207381371,5
202601,20260109,Sem02,22,38,38,0,38,62.7633553299492,0.338395939086294,5
202601,20260109,Sem02,21,51,46,5,34,40.8378323529412,5.35257647058824,5
202601,20260109,Sem02,11,1176,1176,0,1176,185.155496143005,1.1326506453004,5
202601,20260109,Sem02,6,13,13,0,13,27.28145,0.304857142857143,5
202601,20260109,Sem02,16,1008,1006,2,1005,219.212121251293,1.01854395036194,5
202601,20260109,Sem02,14,911,906,5,894,199.930018452047,1.8479865395401,5
202601,20260109,Sem02,23,22,22,0,22,68.2,0.509601769911504,5
202601,20260110,Sem02,6,18,18,0,16,35.6371496598639,2.36585714285714,6
202601,20260110,Sem02,0,25,25,0,24,67.7965454545454,1.3972987012987,6
202601,20260110,Sem02,8,87,59,28,35,27.1008481848185,7.04231243124312,6
202601,20260110,Sem02,1,4,4,0,4,18.82862,0.24516,6
202601,20260110,Sem02,13,782,777,5,748,171.205050359712,3.55666448659255,6
202601,20260110,Sem02,14,570,569,1,564,185.311817307692,1.14299912587413,6
202601,20260110,Sem02,16,475,472,3,468,202.7005674946,0.939774298056156,6
202601,20260110,Sem02,2,6,6,0,6,111.317904761905,0.888952380952381,6
202601,20260110,Sem02,21,47,20,27,4,20.7159175824176,20.6888708791209,6
202601,20260110,Sem02,3,4,4,0,4,53.9987931034483,0.591068965517241,6
202601,20260110,Sem02,4,6,6,0,6,52.1918928571429,0.832892857142857,6
202601,20260110,Sem02,17,425,416,9,390,175.160099415205,11.8623543859649,6
202601,20260110,Sem02,9,1208,1040,168,658,206.571766536965,75.7127738326848,6
202601,20260110,Sem02,5,12,12,0,12,87.7028571428571,0.727642857142857,6
202601,20260110,Sem02,7,38,28,10,14,26.3517050561798,10.5680449438202,6
202601,20260110,Sem02,19,73,32,41,1,19.3085457746479,29.3906866197183,6
202601,20260110,Sem02,10,1280,1024,256,574,190.154328131966,93.1617037449844,6
202601,20260110,Sem02,12,1196,1041,155,601,182.933534058657,73.1355983916745,6
202601,20260110,Sem02,22,37,27,10,7,43.6085174129353,30.6260099502488,6
202601,20260110,Sem02,20,47,16,31,0,12.7925441527446,48.7911264916468,6
202601,20260110,Sem02,11,1408,980,428,419,175.753576452282,134.396834024896,6
202601,20260110,Sem02,23,23,23,0,16,55.9138545454545,11.7864363636364,6
202601,20260110,Sem02,15,515,515,0,513,191.705634960159,0.665106075697211,6
202601,20260110,Sem02,18,74,34,40,5,15.7387067003793,25.2490391908976,6
202601,20260111,Sem03,7,29,24,5,8,53.9746218905473,19.3147960199005,7
202601,20260111,Sem03,0,14,14,0,12,75.1178271604938,4.57861728395062,7
202601,20260111,Sem03,4,11,8,3,6,83.7767297297297,10.3645405405405,7
202601,20260111,Sem03,1,12,12,0,11,113.563815789474,2.41384210526316,7
202601,20260111,Sem03,8,49,33,16,11,34.1662231638418,22.037615819209,7
202601,20260111,Sem03,3,11,8,3,7,63.718125,3.3039,7
202601,20260111,Sem03,6,7,7,0,7,25.6661666666667,0.300222222222222,7
202601,20260111,Sem03,11,62,48,14,7,31.7816596858639,21.7286422338569,7
202601,20260111,Sem03,14,57,57,0,55,37.0684205378973,0.66563325183374,7
202601,20260111,Sem03,5,5,5,0,5,68.2361290322581,0.476677419354839,7
202601,20260111,Sem03,10,65,43,22,6,26.7297350877193,24.914298245614,7
202601,20260111,Sem03,2,6,6,0,6,30.57868,0.52848,7
202601,20260111,Sem03,15,43,43,0,42,33.2467669376694,0.308934959349593,7
202601,20260111,Sem03,9,81,42,39,7,25.6469131238447,38.4951035120148,7
202601,20260111,Sem03,17,42,40,2,36,32.5104147727273,1.82104829545455,7
202601,20260111,Sem03,19,34,33,1,28,35.7653963636364,3.17425454545454,7
202601,20260111,Sem03,22,23,23,0,20,45.1129781021898,5.086,7
202601,20260111,Sem03,18,42,36,6,17,28.7588366762178,10.4612722063037,7
202601,20260111,Sem03,20,41,30,11,11,42.7821960784314,24.053462745098,7
202601,20260111,Sem03,12,73,66,7,40,37.7647980952381,8.01553142857143,7
202601,20260111,Sem03,21,23,19,4,11,33.9323944954128,19.6698348623853,7
202601,20260111,Sem03,13,50,50,0,50,32.7412183406113,0.100703056768559,7
202601,20260111,Sem03,23,8,8,0,8,43.9685714285714,0.396267857142857,7
202601,20260111,Sem03,16,47,46,1,39,32.2693550913838,2.31507049608355,7
202601,20260112,Sem03,17,1265,1038,227,711,196.872852096627,89.7306041476756,1
202601,20260112,Sem03,1,2,2,0,2,47.4168235294118,1.03729411764706,1
202601,20260112,Sem03,3,2,2,0,2,87.6742,0.6031,1
202601,20260112,Sem03,7,42,42,0,42,46.2820602836879,0.478847517730496,1
202601,20260112,Sem03,21,46,46,0,46,43.1427818696884,0.263594900849858,1
202601,20260112,Sem03,0,7,7,0,7,54.94325,0.6125,1
202601,20260112,Sem03,6,8,8,0,8,22.0012470588235,0.286047058823529,1
202601,20260112,Sem03,16,1194,1192,2,1190,217.211589847474,2.38119637750238,1
202601,20260112,Sem03,23,20,20,0,20,48.4373557692308,0.545230769230769,1
202601,20260112,Sem03,2,3,3,0,3,29.04672,0.30476,1
202601,20260112,Sem03,11,1326,1325,1,1325,213.749110875407,1.23697730165465,1
202601,20260112,Sem03,8,562,562,0,561,206.933513013013,1.22353753753754,1
202601,20260112,Sem03,14,1086,1053,33,812,205.30624970494,28.4454350868285,1
202601,20260112,Sem03,10,1384,1381,3,1352,214.16278643697,2.70717377631665,1
202601,20260112,Sem03,18,795,486,309,188,143.168992263056,123.925637330754,1
202601,20260112,Sem03,4,1,1,0,1,11.9905882352941,0.193352941176471,1
202601,20260112,Sem03,9,1280,1278,2,1264,219.284734605242,2.42237498060958,1
202601,20260112,Sem03,12,1334,1329,5,1297,209.504088690223,2.67402206612602,1
202601,20260112,Sem03,19,458,292,166,109,136.056918803419,116.239538995727,1
202601,20260112,Sem03,5,5,5,0,5,35.2970294117647,0.425441176470588,1
202601,20260112,Sem03,13,1150,1094,56,895,197.461990433971,24.9393566651097,1
202601,20260112,Sem03,20,55,55,0,53,38.4185719489982,0.337989071038251,1
202601,20260112,Sem03,22,30,30,0,30,54.6649285714286,0.277831632653061,1
202601,20260112,Sem03,15,1156,1155,1,1148,208.610685440431,1.88491096324145,1
202601,20260113,Sem03,1,9,9,0,9,52.1080909090909,0.626386363636364,2
202601,20260113,Sem03,2,4,4,0,4,74.9806428571429,0.471178571428571,2
202601,20260113,Sem03,8,530,530,0,528,190.10690959596,1.05072525252525,2
202601,20260113,Sem03,7,25,25,0,25,31.3186818181818,0.26344696969697,2
202601,20260113,Sem03,5,3,3,0,3,22.7340769230769,0.246820512820513,2
202601,20260113,Sem03,0,18,18,0,17,105.480523809524,1.62287301587302,2
202601,20260113,Sem03,15,971,970,1,970,212.709144042056,1.06486799065421,2
202601,20260113,Sem03,4,3,3,0,3,30.7217,0.3335,2
202601,20260113,Sem03,19,435,277,158,120,149.579160550459,113.33634059633,2
202601,20260113,Sem03,3,6,6,0,6,230.366842105263,1.01178947368421,2
202601,20260113,Sem03,22,37,36,1,34,50.3444622222222,0.812377777777778,2
202601,20260113,Sem03,9,1040,1040,0,1039,213.273672816061,1.1572702116115,2
202601,20260113,Sem03,6,9,9,0,9,31.6749603960396,0.262257425742574,2
202601,20260113,Sem03,14,1050,1043,7,982,213.72539148425,5.69873772023492,2
202601,20260113,Sem03,16,1004,1002,2,993,221.490034881603,2.32527076502732,2
202601,20260113,Sem03,11,1411,1409,2,1404,206.52164385197,1.37844369279745,2
202601,20260113,Sem03,10,1310,1310,0,1308,225.493999108734,1.25066065062389,2
202601,20260113,Sem03,18,732,486,246,213,162.838101720269,116.563270755423,2
202601,20260113,Sem03,17,1046,1025,21,883,216.728752996352,17.6097613340281,2
202601,20260113,Sem03,12,1216,1205,11,1054,215.364008403361,11.4996155462185,2
202601,20260113,Sem03,20,76,69,7,38,43.5608258527828,8.11272172351885,2
202601,20260113,Sem03,21,68,68,0,60,56.2631544117647,3.36356862745098,2
202601,20260113,Sem03,13,1119,1042,77,773,200.535919387755,43.2416704081632,2
202601,20260113,Sem03,23,29,29,0,29,68.7269,0.467233333333333,2
202601,20260114,Sem03,14,1081,1063,18,852,205.961482285812,21.3572894736791,3
202601,20260114,Sem03,0,23,23,0,23,103.305769230769,0.68548717948718,3
202601,20260114,Sem03,1,4,4,0,4,43.0294814814815,0.437518518518518,3
202601,20260114,Sem03,3,2,2,0,2,49.2475555555556,0.316833333333333,3
202601,20260114,Sem03,15,1043,1042,1,1019,211.765588126649,3.09034036939314,3
202601,20260114,Sem03,8,543,543,0,541,185.736311838306,1.3993166506256,3
202601,20260114,Sem03,2,3,3,0,3,26.26064,0.5634,3
202601,20260114,Sem03,5,9,9,0,9,37.3214888888889,0.571222222222222,3
202601,20260114,Sem03,10,1360,1348,12,1237,229.671513955517,10.8473458351505,3
202601,20260114,Sem03,4,1,1,0,1,27.6755,0.236928571428571,3
202601,20260114,Sem03,11,1283,1280,3,1280,224.465425883953,1.30020557570263,3
202601,20260114,Sem03,13,985,978,7,918,200.581580039174,6.28489102564102,3
202601,20260114,Sem03,9,1140,1138,2,1137,218.588926607884,1.46421550829876,3
202601,20260114,Sem03,6,14,14,0,14,46.8353925233645,0.387915887850467,3
202601,20260114,Sem03,7,39,39,0,34,45.7378470588235,3.078,3
202601,20260114,Sem03,18,777,523,254,201,150.03950620915,105.471911764706,3
202601,20260114,Sem03,12,1190,1189,1,1134,222.71380672667,4.4952787778304,3
202601,20260114,Sem03,19,446,293,153,97,148.394885974304,126.287983404711,3
202601,20260114,Sem03,16,1113,1113,0,1113,217.073990407074,1.1843521021021,3
202601,20260114,Sem03,22,25,25,0,25,34.6443632653061,0.279151020408163,3
202601,20260114,Sem03,17,1053,907,146,650,203.294514578833,65.2387246220303,3
202601,20260114,Sem03,23,16,16,0,16,30.0007557251908,0.346297709923664,3
202601,20260114,Sem03,20,50,50,0,43,30.114561694291,1.1237532228361,3
202601,20260114,Sem03,21,51,51,0,51,42.9801259259259,0.185449382716049,3
202601,20260115,Sem03,6,14,14,0,14,43.935064516129,0.318290322580645,4
202601,20260115,Sem03,11,1258,1257,1,1250,211.831655080214,1.59214616755793,4
202601,20260115,Sem03,2,5,5,0,5,73.2618,0.60732,4
202601,20260115,Sem03,9,1064,1062,2,1054,209.335192524043,2.1479980039902,4
202601,20260115,Sem03,7,36,36,0,36,37.2103285714286,0.2517625,4
202601,20260115,Sem03,1,3,3,0,3,35.8444545454545,0.455363636363636,4
202601,20260115,Sem03,3,5,5,0,5,101.078947368421,0.812684210526316,4
202601,20260115,Sem03,0,16,16,0,16,95.4689180327869,0.71555737704918,4
202601,20260115,Sem03,8,527,524,3,520,183.11743385214,1.72153112840467,4
202601,20260115,Sem03,12,1159,1157,2,1157,207.315735215686,1.12342980392,4
202601,20260115,Sem03,15,1126,1126,0,1125,207.799769557823,1.11097643343051,4
202601,20260115,Sem03,10,1333,1331,2,1320,228.634604772727,1.96243681818182,4
202601,20260115,Sem03,16,1095,1094,1,1095,200.48907904497,0.972539174779786,4
202601,20260115,Sem03,4,5,5,0,5,60.5073870967742,0.511225806451613,4
202601,20260115,Sem03,17,1188,1041,147,756,202.233212269272,60.5399904606795,4
202601,20260115,Sem03,13,1071,1048,23,894,200.572518081366,14.7701454043195,4
